Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
RALGPS2	1597.11	1305.48	112.82	57.03	40.26	23.42	36.8	28.21	98.9	85.48	54.56	32.54	44.86	27.25	22.03	63.44	37.7	39.54	44.09	47.56	56.93	109.43
RASA3	10.56	24.24	13.14	270.98	156.48	327.85	24.57	71.23	79.61	68.97	212.79	65.33	93.34	21.36	14.43	115.94	17.3	12.32	15.37	19.1	26.66	19.43
RASGRP2	5911.21	5135.51	68.81	2427.95	4016.52	2855.39	121.34	169.6	1173.44	997.19	1363.76	256.54	759.98	41.21	120.64	102.04	65.88	130.57	281.32	209.59	1547.79	1260.17
RASGRP3	458.36	575.45	3254.1	16.23	28.79	13.67	13.74	15.84	93.15	16.03	15.51	19.08	11.44	735.01	552.03	1320.7	986.07	1037.51	57.23	90.19	77	15.89
RASSF4	22.68	18.66	15.12	22.98	29.26	19.67	23.49	25.76	67.82	20.65	228.53	146.2	672.1	591.63	3036.44	560.79	657.84	2481.69	39.53	30.91	15.58	33.77
RCAN3	46.67	40.66	41.3	155.03	219.64	566.99	193.09	28.81	332.67	28.35	7.24	25.01	41.68	54.99	37.6	28.67	30.56	106.63	6.23	35.07	10.99	5.27
REN	63.76	51.28	391.96	30.75	76.81	42.47	37.3	35.79	74.05	25.63	26.15	26.43	31.45	30.6	29.94	26.03	25.37	25.18	87.86	51.61	33.52	43.29
RENBP	53.61	41.69	23.15	45.59	37.11	34.35	40.61	18.33	33.38	37.66	20.44	34.35	215.09	433.09	777.77	1584.31	205.94	113.66	101.64	192.93	306.39	77.09
REPS2	40.36	27.95	23.92	13.89	12.09	18.95	8.29	18.57	22.28	19.44	16.01	21.72	153.29	14.5	9.79	171.23	46.4	43.12	108.25	19.05	735.57	1345.64
RGS1	180.2	246.27	742	646.72	215.67	1496.61	1321.5	1981.05	1384.65	110.31	147.04	255.51	64.44	147.15	184.99	63.82	62.1	3515.83	507.24	474.48	6082.81	111.35
RGS13	71.27	70.49	269.91	26.92	11.2	22.22	7.84	7.97	27.72	60.01	36.27	29.94	18.74	9.04	5.14	3.83	4.08	34.67	2908.94	3858	1591.02	19.83
RNASE2	186.47	164.91	350.77	216.87	156.13	98.76	102.52	83.76	107.05	600.51	663.05	230.08	3614.28	144.23	407.22	677.71	143.26	145.72	1975.14	2222.69	6527.5	672.19
RNASE6	1799.68	1157.23	2281.11	17.05	28.13	64.44	8.86	22.17	11.37	777.26	84.59	14.37	4038.45	2527.65	306.17	5075.1	8418.34	853.62	681.37	506.47	144.01	2002.13
RPL10L	36.04	70.34	311.31	321.35	328.07	588.7	346.94	160.24	144.44	184.48	91.28	98.93	95.7	57.32	53.35	70.33	26.98	75.52	182.73	140.71	24.82	13.69
RPL3P7	76.85	379.49	1151.46	1290.95	4477.73	3370.86	1067.78	2289.14	1429.67	649.2	256.68	55.1	109.46	25.68	39.65	31.94	20.8	74.48	459.18	252.45	266.18	142.54
RRP12	12.82	12.57	546.14	10.83	10.26	14.32	378.73	17.27	28.97	9.39	20.6	75.44	288.35	98.85	11.73	14.51	35.5	11.85	26.91	173.35	930.23	274.09
RRP9	9.54	16.33	17.55	92.36	116.42	49.53	524.28	82.56	21.62	72.64	53.29	186.6	36.13	164.95	183.18	91.16	29.3	16.43	110.62	173.37	45.91	9.95
RSAD2	215.23	211.21	215.52	164.1	230.68	222.86	149.43	101.61	852.59	390.71	300.35	666.8	334.99	78.87	6976.48	140.17	115.74	7545.53	399.44	312.62	1070.38	713.36
RYR1	108.56	115.91	61.53	134.68	13.31	134.92	161.98	214.17	1289.51	142.58	38.11	76.73	128.59	205.8	72.99	102.3	117.17	105.54	15.8	55.49	75.75	199.92
S100A12	190.66	205.61	206.61	103.09	122.05	78.97	77.61	114.33	93.86	2375.56	1088.21	220.63	11149.65	143.02	258.3	123.7	132.83	138.87	1054.17	976.51	374.45	8781.77
S1PR5	8	7.03	7.66	41.05	8.45	6.55	6.84	8.89	5.62	13.07	587.66	175.7	6.79	9.8	6.63	6.43	6.92	7.67	8.97	9.12	8.09	9.35
SAMSN1	197.09	441.9	574.92	794.82	609.28	1660.13	2859.41	577.4	1973.85	1571.7	1266.57	2876.6	1412.29	645.69	5090.53	3133.9	2070.55	7507.18	6327.08	4360.9	11409.48	1654.1
SCN9A	7.12	7.91	8.44	5.6	20.44	6.41	6.28	22.14	39.75	56.53	11.25	10.59	6.13	6.72	111.6	88.1	304.81	6.08	61.23	108.67	17.76	15.24
SEC31B	64.8	51.08	101.24	423.47	539.27	63.79	23.57	163.9	1073.5	58.5	248.32	30.97	136.55	33.18	58.51	492.07	38.34	29.75	207.47	231.17	179.5	40.57
SELL	11102.03	8002.61	376.9	7418.86	9805.46	7104.51	2531.5	4188.18	5165.45	10585.57	5741.49	1590.66	7242.74	103.92	234.17	287.22	121.95	137.33	353.99	288.72	3001.39	13724.94
SEPT5	10.9	18.07	52.74	13.11	56.77	37.99	43.47	15.39	256.75	93.47	19.49	22.41	16.5	14.4	27.46	14.79	14.32	25.87	23.98	23.25	35.94	25.74
SEPT8	27.72	22.88	37.65	31.03	35	35.94	272.62	126.64	33.17	30.2	26.98	67.28	15.62	27.19	183.07	72.01	34.67	19.83	417.78	267.47	24.51	21.78
SERGEF	15.69	11.99	11.09	63.61	264.24	28.59	16.23	189.14	15.82	17.27	64.18	41.58	20.42	24.06	113.61	103.01	16.84	19.06	88.98	39.41	19.5	16.74
SH2D1A	30.87	23.75	17.02	1249.21	910.04	1354.89	1484.48	2984.36	2057.44	1522.34	1296	844.71	18.42	17.34	17.53	11.39	16.51	27.63	22.17	43.95	29.31	41.88
SIGLEC1	258.3	149.4	98.52	81.5	55.54	91.07	46.57	55.14	132.29	181.12	98.81	88.82	279.32	116.43	6220.79	3457.59	447.61	2742.91	185.66	145.67	126.37	245.93
SIK1	5471.7	5620.45	7279.25	1219.2	494.43	410.01	162.04	4922.27	942.26	393.19	457.65	248.3	544.81	146.15	292.99	111.24	104.81	228.18	59.71	327	2371.94	401.55
SIRPG	74.41	127.74	55.75	1310.14	1078.54	1148.81	293.21	3092.33	2278.4	713.82	98.35	57.88	54.86	31.74	80.85	39.51	30.07	83.94	13.6	25.5	81.77	125.14
SIT1	759.16	1505.45	424.48	1457.87	1418.52	1612.6	927.39	1676.24	4164.94	1324.14	115.13	107.76	99.64	121.97	60.4	107.76	411.73	77.55	76.79	51.41	76.99	286.53
SKA1	4.91	2.77	3.24	2.22	15.89	1.66	353.19	53.83	32.2	20.96	17.19	41.36	3.2	4.38	6.57	15.6	2.82	4.75	30.77	18.08	5.44	2.09
SKAP1	1378.74	556.93	875.15	2273.26	2670.87	2395.68	814.25	2389.17	5831.85	2886.35	2037.38	1513.44	155.11	188.03	115.44	100.36	168.34	153.53	498.35	480.99	445.02	388.85
SLAMF1	762.04	515.49	1019.77	496.42	449.84	1081.53	2005.43	1074.94	1504.85	720.65	114.12	115.62	111.91	131.71	6057.92	845.51	126.44	801.52	58.06	157.56	243.98	260.86
SLAMF8	156.65	135.59	79.43	107.64	72.69	101.41	85.98	48.49	37.43	218.21	170.43	95.17	166.41	2483	663.47	1407.52	2859.32	358.47	237.64	389.3	111.15	120.65
SLC12A1	89.49	48.94	9.11	10.78	13.6	11.2	1.86	1.86	20.23	37.92	3.64	3.87	3.34	3.7	5.2	1.71	2.71	1.79	5.25	18.19	24.76	8.29
SLC12A8	7.23	8.43	52.06	14.92	11.19	3.74	9.31	34.82	48.42	7.5	10.15	18.07	11.99	466.06	24.56	25.34	37.96	52.24	447.92	581.41	107.01	13.16
SLC15A3	9.05	202.45	10.26	18.57	27.13	19.36	13.09	18.8	9.87	74.51	11.75	8.5	1682.54	4564.07	3860.54	5890.34	3688.67	4650.12	321.3	438.82	20.39	1431.04
SLC2A6	112.56	313.23	42.9	43.08	8.06	15.59	24.89	11.08	17.54	213.15	70.74	125.47	623.89	328.75	6057.92	579.73	500.23	1981.2	552.66	528.64	14.41	12.17
SLC7A10	66.78	84.62	110.63	33.2	19.67	53.12	44.82	626.65	23.57	14.78	31.85	24.37	34.31	52.92	34.73	26.32	37.8	53.05	47.68	11.77	34.66	50.97
SLCO5A1	118.73	108.13	82.29	30.07	55.91	70.97	41.79	15.58	112.93	35.53	73.09	49.59	40.69	42.49	954.04	39.76	42.94	1056.08	14.98	26.31	29.11	131.43
SMPD3	70.72	140.54	328.74	70.13	148.97	47.62	17.26	516.15	27.35	99.22	89.68	154.57	35.64	44.17	66.64	116.47	23.59	53.34	15.17	30.91	1685.73	246.55
SMPDL3B	2.72	3.03	6.77	3.73	5.88	3.85	4.62	4.91	6.39	9.07	4.59	4.18	4.66	4.13	4.75	4.03	3.68	4.25	4.8	5.28	155.78	6.39
SOCS1	27.15	25.09	16.86	160.8	64.44	117.82	1034.18	255.15	604.66	80.88	49.7	1230.2	20.72	82.37	2300.26	705.14	103.72	398.84	50.34	59.61	52.27	31.69
SP140	881.13	2397.76	1001.79	422.13	367.68	549.34	376.9	529.72	659.02	475.96	411.77	385.25	107.99	76.35	170.9	30.82	75.8	212.57	54.89	26.61	654.28	218.17
SPAG4	16.4	24.96	3657.84	60.35	79.59	64.66	120.18	87.32	50.09	83.88	8.4	50.79	16.95	34.04	21.83	11.61	11.75	50.7	41.64	106.8	52.48	22.84
SPIB	3945.3	5363.44	128.97	67.02	111.24	74.71	74.11	88.5	12.74	98.69	106.93	78.25	116.39	57.82	1435.06	31.21	57.53	40.32	75.18	73.13	83.38	272.82
SPOCK2	1531.02	1120.73	433.01	3283.92	2040.44	3212.76	1022.45	3128.51	4263.98	1757.14	995.65	650.46	263.01	175.98	132.22	118.31	202.72	217.05	211.73	172.42	437.59	594.01
SSX1	1.66	3.9	3.29	7.38	40.81	2.49	9.81	25.45	117.07	58.08	2.16	1.48	5.17	9.74	7.47	23.77	14.99	26.62	26.03	18.91	43.12	14.78
ST3GAL6	66.6	34.39	66.14	7.16	12.97	6.48	6.98	20.88	20.23	45.98	27.11	18.39	357.98	524.56	41.08	192.22	398.95	1251.45	742.83	710.13	1574.93	466.52
ST6GALNAC4	264.33	441	2093.52	408.11	297.03	398.87	276.25	263.28	799.85	351.6	240.26	227.04	195.85	688.74	133.98	243.3	349.13	182.63	113.49	129.75	134.83	181.69
ST8SIA1	50.56	44.96	9.74	75.94	9.13	278.43	97.34	2924.59	32.77	78.19	6.72	14.11	8.22	5.38	13.61	3.81	6.26	14.96	313.28	62.59	5.02	15.88
STAP1	3534.5	1961.96	983.24	112.06	432.52	110.86	108.06	92.39	615.51	68.96	299.87	435.48	21.16	25.94	372.92	43.53	47.63	120.76	3297.99	2140.77	831.87	48.56
STEAP4	4.42	8.35	7.82	4.83	10.49	2.35	3.41	3.59	71.19	7.88	8.76	17.27	111.87	5.31	22.35	26.46	48.29	4.3	33.18	43.22	25.02	800.57
STXBP6	16.74	15.04	32.07	16.14	18.77	21.45	14.47	17.85	8.59	14.45	10.57	12	12.9	12.9	24.25	13.13	12.41	14.61	315.81	239.98	16.29	14.81
TARDBPP1	42.04	48.25	11.19	20.13	56.9	38.53	63.68	29.13	4.88	104.03	13.59	31.08	9.11	40.62	4.67	6.61	30.78	22.04	18.6	23.05	47.62	62.01
TBX21	504.2	543.92	450.32	1658.32	162.99	522.11	1173.96	445.52	334.05	1805.13	4208.89	3311.98	273.28	315.86	526.58	86.61	245.49	178.26	141.1	151.26	242.21	542.16
TCF7	32.16	157.17	24.8	3170.4	5181.11	3207.17	351.37	4668.36	754.81	910.7	415.15	151.56	18.66	24.99	284.03	43.91	32.57	55.65	22.36	21.58	451.37	55.12
TCL1A	12117.95	763.14	493.52	106.74	133.69	105.52	62.12	138.67	108.72	106.65	105	78.29	161.46	108.83	109.22	72.96	90.25	122.4	50.03	93.04	259.76	261.74
TEC	11.26	11.14	9.61	11.99	8.99	9.65	9.2	12.74	8.92	14.81	20.22	16.46	16.3	19.99	66.07	50.37	14.62	21.17	23.42	225.49	80.58	12.88
